时间 (CST)CST,纬度纬度,经度经度,航向航向,节,公里/小时,米,爬升率,报告设施

Airline,,,
星期五 14:09:0002:09下午    离开停机位 (PVG) @ 星期五 14:09:00 CST,,,Airline
Surface and Near-Surface,,,
滑行时间: 47 分钟,,,
星期五 14:56:0802:56下午    出发 (PVG) @ 星期五 14:56:08 CST,,,Surface and Near-Surface
星期五 15:24:0603:24下午,31.687031.69,125.5316125.53,→ 73°,513,950,"7,6127612",,FlightAware ADS-B  (CJU / RKPC)
星期五 15:24:3703:24下午,31.708031.71,125.6137125.61,→ 74°,510,945,"7,6127612",6,FlightAware ADS-B  (CJU / RKPC)
星期五 15:25:1903:25下午,31.735431.74,125.7275125.73,→ 76°,510,945,"7,6207620",6,FlightAware ADS-B  (CJU / RKPC)
星期五 15:25:5003:25下午,31.753731.75,125.8111125.81,→ 75°,509,943,"7,6207620",-7,FlightAware ADS-B  (CJU / RKPC)
星期五 15:26:2103:26下午,31.771031.77,125.8904125.89,→ 76°,508,941,"7,6127612",,FlightAware ADS-B  (CJU / RKPC)
星期五 15:27:2103:27下午,31.806231.81,126.0517126.05,→ 76°,505,935,"7,6207620",5,FlightAware ADS-B  (CJU / RKPC)
星期五 15:28:0103:28下午,31.828731.83,126.1551126.16,→ 76°,503,932,"7,6207620",-4,FlightAware ADS-B  (CJU / RKPC)
星期五 15:29:1703:29下午,31.873431.87,126.3609126.36,→ 76°,504,933,"7,6127612",-4,FlightAware ADS-B  (CJU / RKPC)
星期五 15:29:4703:29下午,31.890131.89,126.4385126.44,→ 76°,502,930,"7,6127612",,FlightAware ADS-B  (CJU / RKPC)
星期五 15:30:1903:30下午,31.908131.91,126.5215126.52,→ 75°,501,929,"7,6127612",40,FlightAware ADS-B  (CJU / RKPC)
星期五 15:30:5603:30下午,31.929731.93,126.6189126.62,→ 76°,499,924,"7,6587658",130,FlightAware ADS-B  (CJU / RKPC)
星期五 15:31:2603:31下午,31.947731.95,126.7012126.70,→ 76°,507,938,"7,7577757",220,FlightAware ADS-B  (CJU / RKPC)
星期五 15:32:1703:32下午,31.977931.98,126.8388126.84,→ 76°,511,946,"7,9557955",226,FlightAware ADS-B  (CJU / RKPC)
星期五 15:32:5503:32下午,32.000232.00,126.9407126.94,→ 76°,521,966,"8,0928092",203,FlightAware ADS-B  (CJU / RKPC)
星期五 15:33:2903:33下午,32.021932.02,127.0329127.03,→ 73°,529,980,"8,1998199",210,FlightAware ADS-B  (CJU / RKPC)
星期五 15:34:0703:34下午,32.052832.05,127.1370127.14,→ 69°,532,985,"8,3448344",214,FlightAware ADS-B  (CJU / RKPC)
星期五 15:34:4603:34下午,32.086932.09,127.2435127.24,→ 69°,537,995,"8,4738473",210,FlightAware ADS-B  (CJU / RKPC)
星期五 15:35:1903:35下午,32.115932.12,127.3346127.33,→ 70°,541,1003,"8,5958595",210,FlightAware ADS-B  (CJU / RKPC)
星期五 15:35:4903:35下午,32.142632.14,127.4183127.42,→ 70°,546,1011,"8,6948694",213,FlightAware ADS-B  (CJU / RKPC)
星期五 15:36:1903:36下午,32.169132.17,127.5020127.50,→ 70°,548,1015,"8,8098809",213,FlightAware ADS-B  (CJU / RKPC)
星期五 15:36:4903:36下午,32.195632.20,127.5861127.59,→ 70°,552,1022,"8,9088908",206,FlightAware ADS-B  (CJU / RKPC)
星期五 15:37:1903:37下午,32.222932.22,127.6726127.67,→ 70°,555,1028,"9,0149014",206,FlightAware ADS-B  (CJU / RKPC)
星期五 15:37:5103:37下午,32.251332.25,127.7631127.76,→ 70°,558,1033,"9,1219121",208,FlightAware ADS-B  (NGS / RJFU)
星期五 15:38:2503:38下午,32.281632.28,127.8595127.86,→ 70°,561,1040,"9,2439243",214,FlightAware ADS-B  (CJU / RKPC)
星期五 15:38:5503:38下午,32.308132.31,127.9444127.94,→ 70°,563,1043,"9,3509350",206,FlightAware ADS-B  (CJU / RKPC)
星期五 15:39:2503:39下午,32.335532.34,128.0323128.03,→ 70°,566,1048,"9,4499449",217,FlightAware ADS-B  (CJU / RKPC)
星期五 15:39:5603:39下午,32.363632.36,128.1224128.12,→ 70°,567,1049,"9,5719571",229,FlightAware ADS-B  (CJU / RKPC)
星期五 15:40:2703:40下午,32.391032.39,128.2107128.21,→ 70°,567,1049,"9,6859685",217,FlightAware ADS-B  (NGS / RJFU)
星期五 15:40:5703:40下午,32.417832.42,128.2972128.30,→ 70°,569,1054,"9,7929792",213,FlightAware ADS-B  (NGS / RJFU)
星期五 15:41:2703:41下午,32.444832.44,128.3850128.38,→ 70°,569,1054,"9,8989898",221,FlightAware ADS-B  (NGS / RJFU)
星期五 15:41:5703:41下午,32.472132.47,128.4742128.47,→ 70°,569,1054,"10,01310013",157,FlightAware ADS-B  (NGS / RJFU)
星期五 15:42:2803:42下午,32.500132.50,128.5651128.57,→ 70°,566,1048,"10,05810058",37,FlightAware ADS-B  (NGS / RJFU)
星期五 15:42:5803:42下午,32.527132.53,128.6530128.65,→ 70°,567,1049,"10,05110051",,FlightAware ADS-B  (NGS / RJFU)
星期五 15:43:3203:43下午,32.557332.56,128.7523128.75,→ 70°,571,1057,"10,05810058",,FlightAware ADS-B  (FUK / RJFF)
星期五 15:44:0303:44下午,32.585232.59,128.8435128.84,→ 70°,569,1054,"10,05110051",-7,FlightAware ADS-B  (FUK / RJFF)
星期五 15:44:3503:44下午,32.614232.61,128.9393128.94,→ 70°,566,1048,"10,05110051",7,FlightAware ADS-B  (NGS / RJFU)
星期五 15:45:0603:45下午,32.640632.64,129.0276129.03,→ 70°,567,1049,"10,05810058",,FlightAware ADS-B  (IKI / RJDB)
星期五 15:45:3603:45下午,32.666832.67,129.1142129.11,→ 70°,565,1046,"10,05110051",,FlightAware ADS-B  (IKI / RJDB)
星期五 15:46:0603:46下午,32.693732.69,129.2039129.20,→ 70°,561,1040,"10,05810058",8,FlightAware ADS-B  (NGS / RJFU)
星期五 15:46:3603:46下午,32.720432.72,129.2933129.29,→ 71°,560,1036,"10,05810058",-9,FlightAware ADS-B  (KKJ / RJFR)
星期五 15:47:0003:47下午,32.731232.73,129.3646129.36,→ 89°,565,1046,"10,05110051",,FlightAware ADS-B  (NGS / RJFU)
星期五 15:47:2103:47下午,32.724432.72,129.4282129.43,→ 104°,564,1044,"10,05810058",12,FlightAware ADS-B  (ROIT)
星期五 15:47:4003:47下午,32.704732.70,129.4819129.48,↘ 120°,558,1033,"10,05810058",-12,FlightAware ADS-B  (NGS / RJFU)
星期五 15:48:0003:48下午,32.675432.68,129.5252129.53,↘ 136°,547,1012,"10,05110051",,FlightAware ADS-B  (NGS / RJFU)
星期五 15:48:3003:48下午,32.620332.62,129.5859129.59,↘ 137°,545,1009,"10,05810058",,FlightAware ADS-B  (FUK / RJFF)
星期五 15:49:0103:49下午,32.562832.56,129.6489129.65,↘ 137°,546,1011,"10,05110051",,FlightAware ADS-B  (NGS / RJFU)
星期五 15:49:3303:49下午,32.503332.50,129.7135129.71,↘ 138°,546,1011,"10,05810058",7,FlightAware ADS-B  (NGS / RJFU)
星期五 15:50:0403:50下午,32.442932.44,129.7789129.78,↘ 137°,549,1017,"10,05810058",,FlightAware ADS-B  (ROIT)
星期五 15:50:3403:50下午,32.388332.39,129.8385129.84,↘ 137°,551,1020,"10,05810058",-8,FlightAware ADS-B  (NGS / RJFU)
星期五 15:51:0403:51下午,32.331532.33,129.9003129.90,↘ 137°,548,1015,"10,05110051",-8,FlightAware ADS-B  (FUK / RJFF)
星期五 15:51:3403:51下午,32.275832.28,129.9609129.96,↘ 137°,547,1012,"10,05110051",,FlightAware ADS-B  (NGS / RJFU)
星期五 15:52:0403:52下午,32.221132.22,130.0202130.02,↘ 137°,548,1015,"10,05110051",8,FlightAware ADS-B  (NGS / RJFU)
星期五 15:52:3403:52下午,32.164432.16,130.0815130.08,↘ 137°,551,1020,"10,05810058",8,FlightAware ADS-B  (NGS / RJFU)
星期五 15:53:0503:53下午,32.107932.11,130.1426130.14,↘ 137°,550,1019,"10,05810058",-8,FlightAware ADS-B  (KOJ / RJFK)
星期五 15:53:3503:53下午,32.050332.05,130.2047130.20,↘ 138°,546,1011,"10,05110051",,FlightAware ADS-B  (KOJ / RJFK)
星期五 15:54:0903:54下午,31.987431.99,130.2724130.27,↘ 138°,544,1007,"10,05810058",,FlightAware ADS-B  (KMI / RJFM)
星期五 15:54:4103:54下午,31.927031.93,130.3372130.34,↘ 138°,541,1003,"10,05110051",,FlightAware ADS-B  (KMI / RJFM)
星期五 15:55:1103:55下午,31.872631.87,130.3955130.40,↘ 138°,541,1003,"10,05810058",8,FlightAware ADS-B  (KMI / RJFM)
星期五 15:55:4103:55下午,31.816131.82,130.4561130.46,↘ 138°,541,1003,"10,05810058",-8,FlightAware ADS-B  (KMI / RJFM)
星期五 15:56:1103:56下午,31.760831.76,130.5151130.52,↘ 138°,542,1004,"10,05110051",,FlightAware ADS-B  (KMI / RJFM)
星期五 15:56:4003:56下午,31.703331.70,130.5686130.57,↘ 148°,533,987,"10,05810058",,FlightAware ADS-B  (KOJ / RJFK)
星期五 15:57:1003:57下午,31.638731.64,130.6053130.61,↓ 161°,519,961,"10,05110051",-7,FlightAware ADS-B  (KKJ / RJFR)
星期五 15:57:4403:57下午,31.561331.56,130.6341130.63,↓ 162°,516,956,"10,05110051",,FlightAware ADS-B  (RJFY)
星期五 15:58:1903:58下午,31.481731.48,130.6641130.66,↓ 162°,517,958,"10,05110051",7,FlightAware ADS-B  (NGS / RJFU)
星期五 15:58:5003:58下午,31.411031.41,130.6906130.69,↓ 162°,517,958,"10,05810058",8,FlightAware ADS-B  (KMI / RJFM)
星期五 15:59:2003:59下午,31.344131.34,130.7158130.72,↓ 162°,518,959,"10,05810058",,FlightAware ADS-B  (NGS / RJFU)
