时间 (CST)CST,纬度纬度,经度经度,航向航向,节,公里/小时,米,爬升率,报告设施

Airline,,,
星期五 14:09:0002:09下午    离开停机位 (PVG) @ 星期五 14:09:00 CST,,,Airline
Surface and Near-Surface,,,
滑行时间: 47 分钟,,,
星期五 14:56:0802:56下午    出发 (PVG) @ 星期五 14:56:08 CST,,,Surface and Near-Surface
FlightAware Transoceanic,,,
星期五 17:49:1505:49下午,18.064318.06,139.4330139.43,↘ 153°,504,933,"10,66810668",,FlightAware Transoceanic
星期五 17:51:1605:51下午,17.846117.85,139.5499139.55,↘ 153°,504,933,"10,66810668",,FlightAware Transoceanic
星期五 17:52:2005:52下午,17.730617.73,139.6116139.61,↘ 153°,504,933,"10,66810668",,FlightAware Transoceanic
星期五 17:54:1905:54下午,17.515917.52,139.7261139.73,↘ 153°,504,933,"10,66810668",,FlightAware Transoceanic
星期五 17:56:1805:56下午,17.301117.30,139.8403139.84,↘ 153°,504,933,"10,66810668",,FlightAware Transoceanic
星期五 17:57:1905:57下午,17.193017.19,139.9029139.90,↘ 151°,504,933,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 17:57:3105:57下午,17.000017.00,140.0000140.00,↘ 151°,507,938,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 17:59:1305:59下午,16.818316.82,140.1052140.11,↘ 151°,507,938,"10,66810668",,FlightAware Transoceanic
星期五 18:00:1806:00下午,16.702616.70,140.1722140.17,↘ 151°,507,938,"10,66810668",,FlightAware Transoceanic
星期五 18:02:2006:02下午,16.485216.49,140.2976140.30,↘ 151°,507,938,"10,66810668",,FlightAware Transoceanic
星期五 18:04:1306:04下午,16.283816.28,140.4135140.41,↘ 151°,507,938,"10,66810668",,FlightAware Transoceanic
星期五 18:05:2106:05下午,16.162516.16,140.4832140.48,↘ 151°,507,938,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 18:06:4906:06下午,15.850015.85,140.6667140.67,↘ 151°,507,938,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 18:09:1706:09下午,15.585815.59,140.8173140.82,↘ 151°,507,938,"10,66810668",,FlightAware Transoceanic
星期五 18:11:1406:11下午,15.376915.38,140.9360140.94,↘ 151°,507,938,"10,66810668",,FlightAware Transoceanic
星期五 18:12:1506:12下午,15.267915.27,140.9978141.00,↘ 151°,507,938,"10,66810668",,FlightAware Transoceanic
Guam Center,,,
星期五 18:12:1906:12下午,15.133315.13,141.0500141.05,↘ 151°,490,908,"10,66810668",,Guam Center
星期五 18:13:1906:13下午,15.016715.02,141.1167141.12,↘ 151°,510,945,"10,66810668",,Guam Center
星期五 18:14:2006:14下午,14.883314.88,141.2000141.20,↘ 149°,500,925,"10,66810668",,Guam Center
星期五 18:15:1906:15下午,14.750014.75,141.2667141.27,↘ 154°,510,945,"10,66810668",,Guam Center
星期五 18:16:2006:16下午,14.650014.65,141.3333141.33,↘ 147°,510,945,"10,66810668",,Guam Center
星期五 18:17:2006:17下午,14.516714.52,141.4000141.40,↘ 154°,510,945,"10,66810668",,Guam Center
星期五 18:18:2006:18下午,14.383314.38,141.4667141.47,↘ 154°,510,945,"10,66810668",,Guam Center
星期五 18:19:2006:19下午,14.266714.27,141.5500141.55,↘ 145°,510,945,"10,66810668",,Guam Center
星期五 18:20:2006:20下午,14.150014.15,141.6167141.62,↘ 151°,510,945,"10,66810668",,Guam Center
星期五 18:21:2006:21下午,14.016714.02,141.6833141.68,↘ 154°,500,925,"10,66810668",,Guam Center
星期五 18:22:2106:22下午,13.883313.88,141.7500141.75,↘ 154°,510,945,"10,66810668",,Guam Center
星期五 18:23:2006:23下午,13.766713.77,141.8167141.82,↘ 151°,510,945,"10,66810668",,Guam Center
星期五 18:24:2106:24下午,13.650013.65,141.8833141.88,↘ 151°,500,925,"10,66810668",,Guam Center
星期五 18:25:2106:25下午,13.516713.52,141.9667141.97,↘ 149°,500,925,"10,66810668",,Guam Center
星期五 18:26:2106:26下午,13.400013.40,142.0333142.03,↘ 151°,510,945,"10,66810668",,Guam Center
星期五 18:27:2106:27下午,13.266713.27,142.1000142.10,↘ 154°,510,945,"10,66810668",,Guam Center
星期五 18:28:2106:28下午,13.150013.15,142.1667142.17,↘ 151°,510,945,"10,66810668",,Guam Center
星期五 18:28:3406:28下午,13.116713.12,142.1833142.18,↘ 154°,510,945,"10,66810668",,Guam Center
星期五 18:29:2206:29下午,13.016713.02,142.2333142.23,↘ 154°,510,945,"10,66810668",,Guam Center
星期五 18:30:2106:30下午,12.900012.90,142.3000142.30,↘ 151°,510,945,"10,66810668",,Guam Center
星期五 18:31:2206:31下午,12.766712.77,142.3667142.37,↘ 154°,500,925,"10,66810668",,Guam Center
星期五 18:32:2206:32下午,12.650012.65,142.4500142.45,↘ 145°,500,925,"10,66810668",,Guam Center
星期五 18:33:2206:33下午,12.516712.52,142.5167142.52,↘ 154°,500,925,"10,66810668",-5,Guam Center
FlightAware ADS-B,,,
星期五 18:33:5906:33下午,12.454712.45,142.5611142.56,↘ 152°,504,933,"10,66010660",-6,FlightAware ADS-B  (PGUM)
星期五 18:34:4306:34下午,12.363512.36,142.6113142.61,↘ 152°,504,933,"10,66010660",3,FlightAware ADS-B  (PGUM)
FlightAware Approximate,,,
星期五 18:36:1906:36下午,12.170412.17,142.7258142.73,↘ 150°,,,,,FlightAware Approximate
Guam Center,,,
星期五 18:36:2206:36下午,12.166712.17,142.7167142.72,↘ 150°,500,925,"10,66810668",,Guam Center
星期五 18:37:2306:37下午,12.033312.03,142.7833142.78,↘ 154°,500,925,"10,66810668",,Guam Center
星期五 18:38:2206:38下午,11.916711.92,142.8667142.87,↘ 145°,500,925,"10,66810668",,Guam Center
星期五 18:39:2306:39下午,11.783311.78,142.9333142.93,↘ 154°,500,925,"10,66810668",,Guam Center
星期五 18:40:2306:40下午,11.666711.67,143.0000143.00,↘ 151°,500,925,"10,66810668",,Guam Center
星期五 18:41:2306:41下午,11.550011.55,143.0833143.08,↘ 145°,500,925,"10,66810668",,Guam Center
星期五 18:42:2306:42下午,11.433311.43,143.1500143.15,↘ 151°,500,925,"10,66810668",,Guam Center
星期五 18:43:2306:43下午,11.300011.30,143.2167143.22,↘ 154°,500,925,"10,66810668",,Guam Center
星期五 18:44:2306:44下午,11.183311.18,143.2833143.28,↘ 151°,500,925,"10,66810668",,Guam Center
星期五 18:45:2406:45下午,11.066711.07,143.3667143.37,↘ 145°,500,925,"10,66810668",,Guam Center
星期五 18:46:2306:46下午,10.950010.95,143.4333143.43,↘ 151°,490,908,"10,66810668",,Guam Center
星期五 18:47:2406:47下午,10.833310.83,143.5000143.50,↘ 151°,490,908,"10,66810668",,Guam Center
星期五 18:48:2406:48下午,10.700010.70,143.5667143.57,↘ 154°,490,908,"10,66810668",,Guam Center
星期五 18:49:2406:49下午,10.583310.58,143.6500143.65,↘ 145°,490,908,"10,66810668",,Guam Center
星期五 18:50:2406:50下午,10.466710.47,143.7167143.72,↘ 151°,490,908,"10,66810668",,Guam Center
星期五 18:51:2406:51下午,10.350010.35,143.7833143.78,↘ 151°,490,908,"10,66810668",,Guam Center
星期五 18:52:2406:52下午,10.233310.23,143.8500143.85,↘ 151°,490,908,"10,66810668",,Guam Center
星期五 18:53:2406:53下午,10.133310.13,143.9167143.92,↘ 147°,490,908,"10,66810668",,Guam Center
星期五 18:54:2406:54下午,10.016710.02,143.9667143.97,↓ 157°,490,908,"10,66810668",,Guam Center
星期五 18:55:2506:55下午,9.90009.90,144.0500144.05,↘ 145°,490,908,"10,66810668",,Guam Center
星期五 18:56:2506:56下午,9.76679.77,144.1333144.13,↘ 148°,490,908,"10,66810668",,Guam Center
星期五 18:57:2506:57下午,9.66679.67,144.1833144.18,↘ 154°,490,908,"10,66810668",,Guam Center
星期五 18:58:2506:58下午,9.55009.55,144.2500144.25,↘ 151°,470,871,"10,66810668",,Guam Center
星期五 18:59:2506:59下午,9.43339.43,144.3333144.33,↘ 145°,490,908,"10,66810668",,Guam Center
星期五 19:00:2507:00下午,9.30009.30,144.4167144.42,↘ 148°,490,908,"10,66810668",,Guam Center
FlightAware Approximate,,,
星期五 19:02:1907:02下午,9.07289.07,144.5547144.55,↘ 149°,,,,,FlightAware Approximate
星期五 19:09:1607:09下午,8.24138.24,145.0583145.06,↘ 149°,,,,,FlightAware Approximate
Oakland Oceanic,,,
星期五 19:10:0707:10下午,8.20008.20,145.0833145.08,↘ 149°,489,906,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 19:12:1407:12下午,7.98597.99,145.2125145.21,↘ 149°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:13:2007:13下午,7.87467.87,145.2796145.28,↘ 149°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:15:2007:15下午,7.67237.67,145.4015145.40,↘ 149°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:16:2007:16下午,7.57117.57,145.4624145.46,↘ 149°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:18:1907:18下午,7.37047.37,145.5832145.58,↘ 149°,489,906,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 19:19:4007:19下午,7.08337.08,145.7667145.77,↘ 149°,483,895,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 19:21:1607:21下午,6.92306.92,145.8620145.86,↘ 149°,483,895,"10,66810668",,FlightAware Transoceanic
星期五 19:22:1607:22下午,6.82276.82,145.9216145.92,↘ 149°,483,895,"10,66810668",,FlightAware Transoceanic
星期五 19:23:1607:23下午,6.72256.72,145.9811145.98,↘ 149°,483,895,"10,66810668",,FlightAware Transoceanic
星期五 19:24:1707:24下午,6.62056.62,146.0416146.04,↘ 149°,483,895,"10,66810668",,FlightAware Transoceanic
星期五 19:26:2007:26下午,6.41506.42,146.1635146.16,↘ 149°,483,895,"10,66810668",,FlightAware Transoceanic
星期五 19:28:1907:28下午,6.21616.22,146.2814146.28,↘ 150°,483,895,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 19:29:1107:29下午,5.98335.98,146.4167146.42,↘ 149°,,,"10,66810668",,Oakland Oceanic
星期五 19:29:2007:29下午,5.98335.98,146.4167146.42,↘ 149°,488,904,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 19:31:1907:31下午,5.78265.78,146.5360146.54,↘ 149°,488,904,"10,66810668",,FlightAware Transoceanic
星期五 19:32:2107:32下午,5.67795.68,146.5981146.60,↘ 149°,488,904,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 19:33:5307:33下午,5.45005.45,146.7333146.73,↘ 149°,524,970,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 19:36:1707:36下午,5.18905.19,146.8880146.89,↘ 149°,524,970,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 19:37:4607:37下午,4.96674.97,147.0167147.02,↓ 158°,488,904,"10,66810668",,Oakland Oceanic
星期五 19:38:2307:38下午,4.88334.88,147.0500147.05,↓ 158°,489,906,"10,66810668",,Oakland Oceanic
星期五 19:38:5407:38下午,4.81674.82,147.0667147.07,↓ 158°,488,904,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 19:41:2007:41下午,4.55124.55,147.1737147.17,↓ 158°,488,904,"10,66810668",,FlightAware Transoceanic
星期五 19:43:1807:43下午,4.33664.34,147.2602147.26,↓ 158°,488,904,"10,66810668",,FlightAware Transoceanic
星期五 19:45:1907:45下午,4.11654.12,147.3488147.35,↓ 158°,488,904,"10,66810668",,FlightAware Transoceanic
星期五 19:47:1507:47下午,3.90563.91,147.4337147.43,↓ 158°,488,904,"10,66810668",,FlightAware Transoceanic
星期五 19:48:1607:48下午,3.79463.79,147.4784147.48,↓ 158°,488,904,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 19:48:2107:48下午,3.68333.68,147.5333147.53,↓ 158°,489,906,"10,66810668",,Oakland Oceanic
星期五 19:48:3007:48下午,3.66673.67,147.5333147.53,↓ 158°,489,906,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 19:50:1707:50下午,3.47163.47,147.6116147.61,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:51:1707:51下午,3.36223.36,147.6555147.66,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:52:1807:52下午,3.25103.25,147.7000147.70,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:54:1407:54下午,3.03953.04,147.7848147.78,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:55:1607:55下午,2.92642.93,147.8301147.83,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:56:1707:56下午,2.81522.82,147.8746147.87,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:58:1107:58下午,2.60732.61,147.9579147.96,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 19:59:1307:59下午,2.49432.49,148.0031148.00,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 20:00:2108:00下午,2.37032.37,148.0527148.05,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 20:02:1508:02下午,2.16242.16,148.1359148.14,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 20:03:1708:03下午,2.04932.05,148.1811148.18,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
星期五 20:04:1708:04下午,1.93991.94,148.2249148.22,↓ 158°,489,906,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 20:05:1808:05下午,1.68331.68,148.3333148.33,↓ 158°,522,967,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 20:07:1608:07下午,1.45331.45,148.4245148.42,↓ 158°,522,967,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 20:07:4108:07下午,1.38331.38,148.4500148.45,↓ 158°,521,966,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 20:10:1908:10下午,1.07611.08,148.5722148.57,↓ 158°,521,966,"10,66810668",,FlightAware Transoceanic
星期五 20:12:1708:12下午,0.84670.85,148.6634148.66,↓ 158°,521,966,"10,66810668",,FlightAware Transoceanic
星期五 20:13:1708:13下午,0.73000.73,148.7098148.71,↓ 158°,521,966,"10,66810668",,FlightAware Transoceanic
星期五 20:15:2008:15下午,0.49090.49,148.8049148.80,↓ 158°,521,966,"10,66810668",,FlightAware Transoceanic
星期五 20:17:1708:17下午,0.26340.26,148.8953148.90,↓ 158°,521,966,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 20:17:1808:17下午,0.26670.27,148.8833148.88,↓ 156°,502,930,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 20:19:1808:19下午,0.04210.04,148.9733148.97,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:20:2108:20下午,-0.0758-0.08,149.0206149.02,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:22:1008:22下午,-0.2797-0.28,149.1024149.10,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:23:1708:23下午,-0.4051-0.41,149.1526149.15,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:25:1108:25下午,-0.6185-0.62,149.2381149.24,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:27:0808:27下午,-0.8374-0.84,149.3259149.33,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:28:2008:28下午,-0.9721-0.97,149.3799149.38,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:29:2008:29下午,-1.0844-1.08,149.4249149.42,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:31:1408:31下午,-1.2977-1.30,149.5105149.51,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:32:1908:32下午,-1.4193-1.42,149.5593149.56,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:34:1808:34下午,-1.6420-1.64,149.6486149.65,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:36:1308:36下午,-1.8572-1.86,149.7350149.74,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:38:1908:38下午,-2.0930-2.09,149.8296149.83,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:39:1908:39下午,-2.2052-2.21,149.8747149.87,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:41:0508:41下午,-2.4036-2.40,149.9543149.95,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:42:1908:42下午,-2.5420-2.54,150.0099150.01,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:44:2008:44下午,-2.7684-2.77,150.1009150.10,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:46:1808:46下午,-2.9892-2.99,150.1896150.19,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:48:1808:48下午,-3.2137-3.21,150.2799150.28,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:50:2008:50下午,-3.4419-3.44,150.3717150.37,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:52:1908:52下午,-3.6645-3.66,150.4613150.46,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:53:1908:53下午,-3.7768-3.78,150.5065150.51,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:55:0908:55下午,-3.9825-3.98,150.5894150.59,↓ 158°,502,930,"10,66810668",,FlightAware Transoceanic
星期五 20:56:2008:56下午,-4.1153-4.12,150.6429150.64,↓ 158°,502,930,"10,66810668",9,FlightAware Transoceanic
FlightAware Approximate,,,
星期五 20:58:1808:58下午,-4.3674-4.37,150.7446150.74,↓ 158°,,,,,FlightAware Approximate
星期五 21:00:1809:00下午,-4.6238-4.62,150.8480150.85,↓ 158°,,,,,FlightAware Approximate
星期五 21:02:1709:02下午,-4.8779-4.88,150.9507150.95,↓ 158°,,,,,FlightAware Approximate
星期五 21:04:2009:04下午,-5.1306-5.13,151.0774151.08,↘ 149°,,,,,FlightAware Approximate
星期五 21:06:1009:06下午,-5.3486-5.35,151.2068151.21,↘ 149°,,,,,FlightAware Approximate
星期五 21:07:1509:07下午,-5.4775-5.48,151.2833151.28,↘ 149°,,,,,FlightAware Approximate
星期五 21:08:1709:08下午,-5.6003-5.60,151.3563151.36,↘ 149°,,,,,FlightAware Approximate
星期五 21:09:2009:09下午,-5.7252-5.73,151.4305151.43,↘ 149°,,,,,FlightAware Approximate
星期五 21:11:1909:11下午,-5.9610-5.96,151.5707151.57,↘ 149°,,,,,FlightAware Approximate
星期五 21:12:1909:12下午,-6.0799-6.08,151.6415151.64,↘ 149°,,,,,FlightAware Approximate
星期五 21:14:1809:14下午,-6.3156-6.32,151.7819151.78,↘ 149°,,,,,FlightAware Approximate
星期五 21:16:2009:16下午,-6.5573-6.56,151.9261151.93,↘ 149°,,,,,FlightAware Approximate
星期五 21:18:1709:18下午,-6.7890-6.79,152.0644152.06,↘ 149°,,,,,FlightAware Approximate
星期五 21:19:1709:19下午,-6.9078-6.91,152.1354152.14,↘ 149°,,,,,FlightAware Approximate
星期五 21:20:2109:20下午,-7.0346-7.03,152.2112152.21,↘ 149°,,,,,FlightAware Approximate
星期五 21:22:1509:22下午,-7.2603-7.26,152.3462152.35,↘ 149°,,,,,FlightAware Approximate
星期五 21:24:1809:24下午,-7.5037-7.50,152.4921152.49,↘ 149°,,,,,FlightAware Approximate
星期五 21:25:2009:25下午,-7.6264-7.63,152.5657152.57,↘ 149°,,,,,FlightAware Approximate
星期五 21:27:2009:27下午,-7.8639-7.86,152.7082152.71,↘ 149°,,,,,FlightAware Approximate
星期五 21:29:2009:29下午,-8.1013-8.10,152.8509152.85,↘ 149°,,,,,FlightAware Approximate
星期五 21:31:1509:31下午,-8.3288-8.33,152.9879152.99,↘ 149°,,,,,FlightAware Approximate
星期五 21:32:1609:32下午,-8.4494-8.45,153.0606153.06,↘ 149°,,,,,FlightAware Approximate
星期五 21:34:1109:34下午,-8.6768-8.68,153.1977153.20,↘ 149°,,,,,FlightAware Approximate
星期五 21:35:2009:35下午,-8.8133-8.81,153.2801153.28,↘ 149°,,,,,FlightAware Approximate
星期五 21:37:2009:37下午,-9.0504-9.05,153.4236153.42,↘ 149°,,,,,FlightAware Approximate
星期五 21:38:2009:38下午,-9.1690-9.17,153.4953153.50,↘ 149°,,,,,FlightAware Approximate
星期五 21:39:2009:39下午,-9.2876-9.29,153.5672153.57,↘ 149°,,,,,FlightAware Approximate
星期五 21:41:1309:41下午,-9.5109-9.51,153.7026153.70,↘ 149°,,,,,FlightAware Approximate
星期五 21:43:1509:43下午,-9.7518-9.75,153.8490153.85,↘ 149°,,,,,FlightAware Approximate
星期五 21:44:2009:44下午,-9.8802-9.88,153.9271153.93,↘ 149°,,,,,FlightAware Approximate
星期五 21:46:2109:46下午,-10.1201-10.12,154.0710154.07,↘ 150°,,,,,FlightAware Approximate
星期五 21:48:1809:48下午,-10.3528-10.35,154.2089154.21,↘ 150°,,,,,FlightAware Approximate
星期五 21:50:1309:50下午,-10.5815-10.58,154.3446154.34,↘ 150°,,,,,FlightAware Approximate
星期五 21:52:1809:52下午,-10.8300-10.83,154.4924154.49,↘ 150°,,,,,FlightAware Approximate
星期五 21:53:2009:53下午,-10.9532-10.95,154.5658154.57,↘ 150°,,,,,FlightAware Approximate
Estimated,,,
星期五 21:55:1709:55下午,-11.1837-11.18,154.7104154.71,↘ 148°,,,,,Estimated
星期五 21:56:2109:56下午,-11.3097-11.31,154.7896154.79,↘ 148°,,,,,Estimated
星期五 21:58:2009:58下午,-11.5440-11.54,154.9370154.94,↘ 148°,,,,,Estimated
星期五 22:00:1810:00下午,-11.7763-11.78,155.0835155.08,↘ 148°,,,,,Estimated
星期五 22:02:1810:02下午,-12.0124-12.01,155.2327155.23,↘ 148°,,,,,Estimated
星期五 22:04:1810:04下午,-12.2484-12.25,155.3821155.38,↘ 148°,,,,,Estimated
星期五 22:05:2010:05下午,-12.3703-12.37,155.4594155.46,↘ 148°,,,,,Estimated
星期五 22:07:1910:07下午,-12.6043-12.60,155.6080155.61,↘ 148°,,,,,Estimated
星期五 22:09:2010:09下午,-12.8420-12.84,155.7594155.76,↘ 148°,,,,,Estimated
星期五 22:11:1910:11下午,-13.0758-13.08,155.9085155.91,↘ 148°,,,,,Estimated
星期五 22:13:1510:13下午,-13.3036-13.30,156.0542156.05,↘ 148°,,,,,Estimated
星期五 22:15:1810:15下午,-13.5451-13.55,156.2090156.21,↘ 148°,,,,,Estimated
星期五 22:16:1810:16下午,-13.6628-13.66,156.2846156.28,↘ 148°,,,,,Estimated
星期五 22:17:1910:17下午,-13.7825-13.78,156.3615156.36,↘ 148°,,,,,Estimated
星期五 22:19:1410:19下午,-14.0081-14.01,156.5068156.51,↘ 148°,,,,,Estimated
星期五 22:20:2010:20下午,-14.1375-14.14,156.5903156.59,↘ 148°,,,,,Estimated
星期五 22:22:1210:22下午,-14.3570-14.36,156.7322156.73,↘ 148°,,,,,Estimated
星期五 22:23:2010:23下午,-14.4901-14.49,156.8184156.82,↘ 148°,,,,,Estimated
星期五 22:25:1910:25下午,-14.7229-14.72,156.9694156.97,↘ 148°,,,,,Estimated
星期五 22:27:1310:27下午,-14.9458-14.95,157.1144157.11,↘ 148°,,,,,Estimated
星期五 22:29:0810:29下午,-15.1705-15.17,157.2610157.26,↘ 148°,,,,,Estimated
星期五 22:30:1610:30下午,-15.3034-15.30,157.3478157.35,↘ 148°,,,,,Estimated
星期五 22:32:1810:32下午,-15.5391-15.54,157.5021157.50,↘ 148°,,,,,Estimated
星期五 22:34:1110:34下午,-15.7573-15.76,157.6454157.65,↘ 148°,,,,,Estimated
星期五 22:35:1710:35下午,-15.8847-15.88,157.7293157.73,↘ 148°,,,,,Estimated
星期五 22:36:1910:36下午,-16.0057-16.01,157.8090157.81,↘ 148°,,,,,Estimated
星期五 22:38:2010:38下午,-16.2417-16.24,157.9648157.96,↘ 148°,,,,,Estimated
星期五 22:40:1610:40下午,-16.4678-16.47,158.1145158.11,↘ 148°,,,,,Estimated
星期五 22:41:1810:41下午,-16.5886-16.59,158.1947158.19,↘ 148°,,,,,Estimated
星期五 22:42:2010:42下午,-16.7094-16.71,158.2750158.28,↘ 148°,,,,,Estimated
星期五 22:44:0710:44下午,-16.9178-16.92,158.4138158.41,↘ 148°,,,,,Estimated
星期五 22:45:2010:45下午,-17.0599-17.06,158.5086158.51,↘ 147°,,,,,Estimated
星期五 22:47:1610:47下午,-17.2860-17.29,158.6599158.66,↘ 147°,,,,,Estimated
星期五 22:49:1010:49下午,-17.5081-17.51,158.8089158.81,↘ 147°,,,,,Estimated
星期五 22:51:1510:51下午,-17.7515-17.75,158.9727158.97,↘ 147°,,,,,Estimated
星期五 22:52:1910:52下午,-17.8761-17.88,159.0568159.06,↘ 147°,,,,,Estimated
星期五 22:54:1310:54下午,-18.0978-18.10,159.2068159.21,↘ 147°,,,,,Estimated
星期五 22:55:1910:55下午,-18.2262-18.23,159.2938159.29,↘ 147°,,,,,Estimated
星期五 22:57:1610:57下午,-18.4536-18.45,159.4484159.45,↘ 147°,,,,,Estimated
星期五 22:59:1910:59下午,-18.6922-18.69,159.6111159.61,↘ 147°,,,,,Estimated
星期五 23:01:1611:01下午,-18.9190-18.92,159.7663159.77,↘ 147°,,,,,Estimated
星期五 23:02:1911:02下午,-19.0411-19.04,159.8500159.85,↘ 147°,,,,,Estimated
星期五 23:03:1911:03下午,-19.1573-19.16,159.9298159.93,↘ 147°,,,,,Estimated
星期五 23:05:1311:05下午,-19.3781-19.38,160.0819160.08,↘ 147°,,,,,Estimated
星期五 23:06:1811:06下午,-19.5039-19.50,160.1688160.17,↘ 147°,,,,,Estimated
星期五 23:07:1811:07下午,-19.6198-19.62,160.2490160.25,↘ 147°,,,,,Estimated
星期五 23:09:1911:09下午,-19.8534-19.85,160.4111160.41,↘ 147°,,,,,Estimated
星期五 23:10:1911:10下午,-19.9692-19.97,160.4916160.49,↘ 147°,,,,,Estimated
星期五 23:12:1111:12下午,-20.1853-20.19,160.6423160.64,↘ 147°,,,,,Estimated
星期五 23:13:1911:13下午,-20.3164-20.32,160.7339160.73,↘ 147°,,,,,Estimated
星期五 23:15:1811:15下午,-20.5458-20.55,160.8948160.89,↘ 147°,,,,,Estimated
星期五 23:16:1911:16下午,-20.6633-20.66,160.9774160.98,↘ 147°,,,,,Estimated
星期五 23:18:1411:18下午,-20.8847-20.88,161.1335161.13,↘ 147°,,,,,Estimated
星期五 23:19:2011:19下午,-21.0117-21.01,161.2233161.22,↘ 147°,,,,,Estimated
FlightAware ADS-B,,,
星期五 23:19:3211:19下午,-21.4278-21.43,162.1052162.11,↘ 144°,504,933,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:20:2611:20下午,-21.5315-21.53,162.1865162.19,↘ 144°,505,935,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
Estimated,,,
星期五 23:22:2111:22下午,-21.7552-21.76,162.3398162.34,↘ 148°,,,,,Estimated
星期五 23:24:1911:24下午,-21.9845-21.98,162.4976162.50,↘ 147°,,,,,Estimated
FlightAware ADS-B,,,
星期五 23:24:4511:24下午,-22.0224-22.02,162.5735162.57,↘ 144°,508,941,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
