screen_name,profile_image_url,location,created_time,text
luckyzhaoyanyan,"https://tvax2.sinaimg.cn/crop.0.0.960.960.50/0078ni2sly8fqsmcb3paej30qo0qowh4.jpg?KID=imgbed,tva&Expires=1687009316&ssig=yWX3W3IxiG",河北,Mon Jun 12 11:40:23  2023,早日立法，拒绝网络暴力
随缘0随意,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008fX1rbly8ha5wjwpb4gj30u00u078o.jpg?KID=imgbed,tva&Expires=1687009316&ssig=lkZ89Lb7z2",广东,Mon Jun 12 10:56:12  2023,也有一些人看到所谓的媒体人，新闻人，为了热度，为了博眼球，故意捏造一些不是事实，不是真相的假新闻出来，博流量，博热度，因此害了多少人呢？希望好好的也严查这一些假媒体人
敢大喊三声徐工吗,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/6e2778bdly8funjvbd2nzj20ro0ron24.jpg?KID=imgbed,tva&Expires=1687009316&ssig=sOj0Fg51CN",广东,Mon Jun 12 10:40:37  2023,严打小作文
Big_Ssssnake,"https://tvax1.sinaimg.cn/crop.0.0.132.132.50/0077vO1mly8fq6pensmv1j303o03o743.jpg?KID=imgbed,tva&Expires=1687009316&ssig=pIx1%2F51nB8",其他,Mon Jun 12 10:16:54  2023,四川大学的研究生，党员？？
重生之喷人之后我会反思,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_50.gif?KID=imgbed,tva&Expires=1687009316&ssig=YkMxQzwM82",其他,Mon Jun 12 12:27:13  2023,我在想，征集意见后，要多久才会出结果，看他们一个月三千块的样子，估计要五六年吧
潘朶朶的神奇旅行,"https://tvax2.sinaimg.cn/crop.0.0.250.250.50/c250a2e5ly8h8estbmtowj206y06ydfu.jpg?KID=imgbed,tva&Expires=1687009316&ssig=fH7%2BlwAYwg",广西 梧州,Thu Jun 15 13:38:06  2023,应该立法，让那些占用公共资源网暴他人的受到法律的制裁，还网络一个清朗的环境
星星_星星1122,"https://tvax3.sinaimg.cn/crop.0.0.960.960.50/006O8N9ily8he5r70evn1j30qo0qotbd.jpg?KID=imgbed,tva&Expires=1687009316&ssig=wB%2BmgR2fJf",北京,Wed Jun 14 17:24:30  2023,希望能落实好，不要只是句空话
还有比讲老实话更逗的吗,"https://tvax1.sinaimg.cn/crop.0.0.1010.1010.50/007cyco2ly8gu4b19lfpjj60s20s2aa502.jpg?KID=imgbed,tva&Expires=1687009316&ssig=wSFA7V31NF",河北,Tue Jun 13 12:32:48  2023,先把女拳清算干净再说别的，否则都是治标不治本。
吃瓜看不惯,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/005Ni9u6ly8gsbkblh6ztj30ro0rota0.jpg?KID=imgbed,tva&Expires=1687009316&ssig=ikxcOwVNrz",其他,Tue Jun 13 12:22:35  2023,我觉得应该应该分清楚网暴和批评！
David蟋蟀777,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/544a848fjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1687009316&ssig=GHbzmkTqmH",湖南 株洲,Tue Jun 13 01:16:17  2023,在遏制“网络暴力”的同时，不应该打压“舆论谴责”，进而破坏中华民族的社会道德体系。“与坏人坏事作斗争”、“见义勇为”、“正当防卫”，需要承担的违法风险已经太大了。当一个社会，人人都以法律为底线了，那么道德体系就已经被击穿了。道德——才是为人处事的底线；法律——只是惩处罪犯的准绳。
一个月亮moon,"https://tvax2.sinaimg.cn/crop.0.0.132.132.50/0089ylAjly8hf042iszn1j303o03oa9v.jpg?KID=imgbed,tva&Expires=1687009316&ssig=%2Fnd0ioVDPa",其他,Mon Jun 12 13:17:10  2023,严惩网暴
相望江湖-勿相忘,"https://tvax3.sinaimg.cn/crop.0.0.809.809.50/007YZSlYly8h72vgm1rpuj30mh0mhjrx.jpg?KID=imgbed,tva&Expires=1687009316&ssig=e3e7W3GR3K",北京,Mon Jun 12 11:08:42  2023,终于要来了吗
Nanjyiwka,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/007YWS1vly8hdbu9c2q3bj30e80e8aa4.jpg?KID=imgbed,tva&Expires=1687009316&ssig=rQDjx9stBo",其他,Mon Jun 12 10:29:18  2023,大v挂人呢？不管管吗？[doge]一个嘴抵不过一群人。
随手换个昵称,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/008ujvNily8hdgzy0z7gpj30u00u0di9.jpg?KID=imgbed,tva&Expires=1687009317&ssig=DZZVjQFfbU",其他,Mon Jun 12 09:57:41  2023,只希望立法的初衷是保护说真话，而不是不许说话。
婷米生0710,"https://tvax3.sinaimg.cn/crop.0.0.600.600.50/008lReWsly8hcfcvcxunqj30go0gogls.jpg?KID=imgbed,tva&Expires=1687009318&ssig=zr84D2Z%2BKu",台湾,Sat Jun 17 08:26:56  2023,看图学法、知识！！关注！！
中捷司法,"https://tvax3.sinaimg.cn/crop.291.123.600.600.50/005Iv7xCly8gdt92f9xo0j30u00u0myx.jpg?KID=imgbed,tva&Expires=1687009318&ssig=uYbrjG6KPn",河北,Sat Jun 17 15:41:29  2023,关注@沿江检察
陇南两当县法院,"https://tvax4.sinaimg.cn/crop.0.0.599.599.50/e9202e4bly8h8vgl3f0urj20gn0gngmn.jpg?KID=imgbed,tva&Expires=1687009318&ssig=FaUQ6IUdvq",甘肃,Sat Jun 17 13:40:28  2023,关注@沿江检察
北方的雪99789,"https://tvax3.sinaimg.cn/crop.0.0.1006.1006.50/0080wKBmly8ggeysno3njj30ry0ry0uy.jpg?KID=imgbed,tva&Expires=1687009318&ssig=Qyhp5rnkkL",其他,Sat Jun 17 11:51:31  2023,@沿江检察
sun幽谷百合,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/ea2e409cly8hast1t6dvej20u00u0gng.jpg?KID=imgbed,tva&Expires=1687009318&ssig=4Qvvrq9o0%2F",黑龙江 哈尔滨,Sat Jun 17 10:18:32  2023,[话筒][话筒][话筒]
柒陆Qilu,"https://tvax3.sinaimg.cn/crop.0.0.1002.1002.50/006e0pqCly8fwwaq970eij30ru0rujsk.jpg?KID=imgbed,tva&Expires=1687009318&ssig=O6BsUCKD42",黑龙江 哈尔滨,Sat Jun 17 17:52:25  2023,[话筒][话筒][话筒]
林微风轻110,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/005RfJHQly8ga854xptxkj30ro0roq4d.jpg?KID=imgbed,tva&Expires=1687009318&ssig=8QkPPuc8Bo",其他,Sat Jun 17 16:23:55  2023,[微风][微风][微风]
洞洞幺指挥官,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/008exxM9ly8gvhfzzmr57j60ro0ron0g02.jpg?KID=imgbed,tva&Expires=1687009318&ssig=NgJ3RYuALt",其他,Sat Jun 17 15:14:41  2023,关注
印象-狠深刻,"https://tvax1.sinaimg.cn/crop.0.0.640.640.50/006TpB0yly8fhhb4psvz0j30hs0hst8z.jpg?KID=imgbed,tva&Expires=1687009318&ssig=yAtF%2FyhyIf",其他,Sat Jun 17 14:41:14  2023,关注[心][心][心]
感触相君,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/be260100ly8gg32we8q7gj20u00u077w.jpg?KID=imgbed,tva&Expires=1687009318&ssig=AF9AFOEasE",黑龙江 哈尔滨,Sat Jun 17 10:52:29  2023,沿江检察同你一起普法宣传[话筒][话筒]
我真六六六六六啊,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/005DycOuly8gvzlx40wslj30ro0roju0.jpg?KID=imgbed,tva&Expires=1687009318&ssig=xFgj3ZKABw",黑龙江,Sat Jun 17 10:47:19  2023,关注
弓_长_老,"https://tvax2.sinaimg.cn/crop.0.0.402.402.50/0080yluRly8h8kkrvxfekj30b60b6glz.jpg?KID=imgbed,tva&Expires=1687009318&ssig=P10z7GvNo5",黑龙江 哈尔滨,Sat Jun 17 07:52:33  2023,[话筒][绿丝带][绿丝带][微风][微风]
開心果晓婧,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/954e128fly8hez632oyedj20u00u074y.jpg?KID=imgbed,tva&Expires=1687009318&ssig=%2BNGhr9LfQ0",江苏,Sat Jun 17 07:44:58  2023,转发微博
婷米生0710,"https://tvax3.sinaimg.cn/crop.0.0.600.600.50/008lReWsly8hcfcvcxunqj30go0gogls.jpg?KID=imgbed,tva&Expires=1687009319&ssig=krs7sPiTSt",台湾,Sat Jun 10 08:35:01  2023,看看图学知识！！@沿江检察
景瑜儿whale,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/007DVux5ly8h6kzzfjabkj30u00u0jv2.jpg?KID=imgbed,tva&Expires=1687009319&ssig=pBAJhxgWVI",山东,Sat Jun 10 08:35:34  2023,建议实名制
沿江检察,"https://tvax2.sinaimg.cn/crop.0.0.850.850.50/007P8N6Gly8h8vgdmodckj30nm0nmmxv.jpg?KID=imgbed,tva&Expires=1687009319&ssig=40SVReJ57h",黑龙江,Sat Jun 10 08:33:11  2023,#向网络暴力亮剑#
深情的嘟嘟猫,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/8f5ac3bdly8hf18rhawtpj20u00u10uq.jpg?KID=imgbed,tva&Expires=1687009319&ssig=B2zkruxrpp",天津,Sat Jun 10 09:11:27  2023,关注[话筒][话筒][话筒]
深情的嘟嘟猫,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/8f5ac3bdly8hf18rhawtpj20u00u10uq.jpg?KID=imgbed,tva&Expires=1687009319&ssig=B2zkruxrpp",天津,Sat Jun 10 09:11:10  2023,#向网络暴力亮剑#[拳头][拳头]
中捷司法,"https://tvax3.sinaimg.cn/crop.291.123.600.600.50/005Iv7xCly8gdt92f9xo0j30u00u0myx.jpg?KID=imgbed,tva&Expires=1687009319&ssig=2mFKLKi0At",河北,Sat Jun 10 21:34:22  2023,关注
谭龙江201803,"https://tvax4.sinaimg.cn/crop.0.0.132.132.50/0085dLnBly4gcis8wej4ij303o03oq2q.jpg?KID=imgbed,tva&Expires=1687009319&ssig=EasxpogPf%2F",其他,Sat Jun 10 12:20:06  2023,关注
河口广电,"https://tvax3.sinaimg.cn/crop.0.0.360.360.50/005T3adlly8h8vgu30ioqj30a00a0aak.jpg?KID=imgbed,tva&Expires=1687009319&ssig=o%2B6sQ1cwIh",山东 东营,Sat Jun 10 08:46:41  2023,早安，周末愉快[心][心][心]
沿江LXL,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/007RcWMtly8gga2ydut1rj30u00u077p.jpg?KID=imgbed,tva&Expires=1687009319&ssig=r9X5geq7XH",黑龙江,Sat Jun 10 19:04:11  2023,#向网络暴力亮剑# 最高法、最高检、公安部联手起草《关于依法惩治网络暴力违法犯罪的指导意见征求意见稿》。
伍家岗检察,"https://tvax1.sinaimg.cn/crop.0.0.900.900.50/005G1BGQly8h8vinwji0lj30p00p0761.jpg?KID=imgbed,tva&Expires=1687009319&ssig=GKhHmsPmIH",湖北,Sat Jun 10 17:00:15  2023,关注
秋yh芬,"https://tvax3.sinaimg.cn/crop.0.0.378.378.50/008qAZiVly8hevqnl5b1dj30ai0aiweo.jpg?KID=imgbed,tva&Expires=1687009319&ssig=fLCzj5mRMv",黑龙江,Sat Jun 10 08:47:18  2023,关注
