screen_name,profile_image_url,location,created_time,text
爱吃草莓的_兔子,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/006gHknnly8hewq3eqedxj30e80e83zg.jpg?KID=imgbed,tva&Expires=1686725980&ssig=cogRxeoSWX",四川 成都,Fri Jun 09 14:18:27  2023,网络不是法外之地，每个人都要对自己的言行负责！支持加大力度！！
你以为你是谁呀_暗黑版,"https://tvax3.sinaimg.cn/crop.0.0.1023.1023.50/006jPmJVly8he7d6ag6cfj30sg0sfgnl.jpg?KID=imgbed,tva&Expires=1686725980&ssig=w9wPA5657O",四川,Fri Jun 09 15:39:05  2023,同意，希望加强对氵君公司的整治！！！！！还有无良yxh！
我是鲸鱼鲨鱼小丑鱼重生版3号,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/3ef0656dly8he9htpm9qmj20u00u0adj.jpg?KID=imgbed,tva&Expires=1686725980&ssig=U0CAkCHrTD",北京 朝阳区,Fri Jun 09 14:12:12  2023,能不能在微博见到效果[开学季]投诉有反馈呢[开学季]
顾国梅花香,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008cuAsrly8hdwz6oo77xj30u00u0goc.jpg?KID=imgbed,tva&Expires=1686725980&ssig=dDk%2BIrmhDs",浙江 宁波,Fri Jun 09 14:33:07  2023,同意[比耶][比耶]
今天阿维吃饱了没,"https://tvax3.sinaimg.cn/crop.0.0.844.844.50/008e82xLly8ha3p2fb1fnj30ng0ngdgj.jpg?KID=imgbed,tva&Expires=1686725980&ssig=HOqi1RR24W",其他,Fri Jun 09 14:18:02  2023,@注册不了张z 说你呢
杰西wang,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/75150b99ly8gdj92h3zbqj20ro0ro0ul.jpg?KID=imgbed,tva&Expires=1686725980&ssig=VtvDohBQWe",北京 朝阳区,Fri Jun 09 15:01:15  2023,营销号、大Ⅴ是首害[怒]
忆萌橘宇,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/e6070cffly8fngbne9mpmj20ro0ro0u5.jpg?KID=imgbed,tva&Expires=1686725980&ssig=z%2BTIIzakJu",湖北 武汉,Fri Jun 09 14:18:57  2023,每个网暴他人的都应该受到处罚，现在的人跟风太严重，没有一点思考，尤其是被yxh带节奏的更多
宝蓝家老妖,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/6935e6c1ly8h69y1bj51gj20u00u0abc.jpg?KID=imgbed,tva&Expires=1686725980&ssig=Y12Yx%2Bo%2F9m",山西 太原,Fri Jun 09 15:40:01  2023,支持，首先请把各个平台的判断标准严格化[吃瓜]
HYH吴情,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/006Xj3eily8gs5tytt6qvj30ro0rogma.jpg?KID=imgbed,tva&Expires=1686725980&ssig=35OlR7ePXt",湖北 武汉,Fri Jun 09 14:14:10  2023,网络不是法外之地，每个人都要对自己的言行负责！
抓到一只大橙子,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006pGmr7ly8haoyrwyjo0j30u00u10wm.jpg?KID=imgbed,tva&Expires=1686725980&ssig=1Udv6%2FSJXF",浙江 杭州,Fri Jun 09 14:58:44  2023,支持
D陶桃紫子C,"https://tvax2.sinaimg.cn/crop.0.0.801.801.50/0083mn0bly8he7feua8m8j30m90m940w.jpg?KID=imgbed,tva&Expires=1686725980&ssig=qxwadu0PN5",江西 南昌,Fri Jun 09 16:09:52  2023,网络不是不法之地！拒绝造谣！拒绝网暴！坚决抵制！
