_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4897067665459848,MEJaKmUm4,379,【好听！#李玉刚新歌相承唱出非遗有多美#】提一壶清欢赴梦里，茶烟临风飘逸……时光流转、岁月悠长，而薪火承续，情怀如一。循着一曲《相承》追寻跨越千年的非遗之美，用歌声将一脉相承、薪传不息的故事娓娓道来。#李玉刚一开口就有国风感觉#，一起听↓↓央视一套的微博视频 ,2023-05-02,4171,5899,微博视频号,2803301701,https://m.weibo.cn/detail/4897067665459848
4897056457490847,MEISFvqI7,1151,【收藏！#3个妙招缓解返程晕车症状#】五一假期返程路上晕车怎么办？①#按1个穴位减轻晕车不适感#，轻轻画圈式按揉内关穴，每10秒钟放松一下，持续按揉3分钟；②喝生姜水缓解晕车，取5、6片生姜加水煮沸携带饮用；③平时食用百合山楂粥，润肺安神。容易晕车的小伙伴学起来！央视频的微博视频 ,2023-05-02,7877,3014,微博视频号,2803301701,https://m.weibo.cn/detail/4897056457490847
4897039848571465,MEIrSzXPr,562,【感动！#男孩向坚守边境的警察爸爸敬礼#】近日，云南河口出入境边防检查站民警普春华和同事列队前往岗位，5岁的儿子米乐在“五一”假期前来看望。米乐站在路边向坚守岗位的爸爸敬礼，爸爸也向儿子回礼。网友：警察叔叔辛苦了，#这对父子的敬礼太暖了#！新华社的微博视频 ,2023-05-02,6370,381,微博视频号,2803301701,https://m.weibo.cn/detail/4897039848571465
4897030361582918,MEIcA6DMW,418,【帮扩！#帮忙喊杨同学来领作业本#】沂水县的杨同学，看到后请联系@北京公交警方 领一下作业本，#五一假期只剩1天了#，希望来得及……//@平安北京:不行，我还是得帮杨同学努力一把，别让这个假期留遗憾……,2023-05-02,1842,369,微博网页版,2803301701,https://m.weibo.cn/detail/4897030361582918
4897010076882773,MEHFRsSwt,1744,【见者好运！#延时看天琴座流星雨划过夜空#】近期，内蒙古扎赉特旗神山上空繁星流转，偶有天琴座流星雨划过天际，转瞬即逝，梦幻唯美。天地之间，静谧无垠，引人无限遐想。#五一假期一起云赏流星雨# 荔枝风景线的微博视频 ,2023-05-02,8717,1928,微博视频号,2803301701,https://m.weibo.cn/detail/4897010076882773
4896980931446457,MEGUR64hX,377,【属于中国人的浪漫！#五一假期天安门看升旗的氛围感#】4月30日凌晨，北京，天安门广场上聚集着来自全国各地等待看升旗的游客。到了开放时间后，游客们一路狂奔，只为离国旗更近一点。网友：一颗颗奔跑的爱国心！#天安门游客看升旗跑出了百米冲刺#  人民视频的微博视频 ,2023-05-02,1810,227,微博视频号,2803301701,https://m.weibo.cn/detail/4896980931446457
4896972165350183,MEGGImrPh,356,【真帅！#男子救起落水男童问儿子我帅不帅#】5月1日下午，山东青岛，一名6岁男童玩耍时不慎坠河。听到呼救声，在附近游玩的戴志磊立即跳入河中救人。在将男童成功救起后，他笑着问儿子：“我帅不帅？”儿子回答：“帅！”网友：你救人的样子帅爆了！#戴志磊你可真帅# 半岛都市报的微博视频 ,2023-05-02,2205,143,微博视频号,2803301701,https://m.weibo.cn/detail/4896972165350183
4896964326724852,MEGu4sdrm,685,【请查收！#文明观国宝指南#】五一假期，迫不及待去看你的“心上熊”？请注意，#小熊友们有话对你说#↓↓爱它们，就保护好它们吧！中国大熊猫保护研究中心的微博视频 ,2023-05-02,3965,471,微博视频号,2803301701,https://m.weibo.cn/detail/4896964326724852
4896956508539981,MEGhszPDD,516,【马住！#无限翻折纸DIY教程#】用几张简单的小小纸片，和孩子一起做个可以无限翻折的小玩具，动手又动脑。↓↓收藏，来试试自己的动手能力？（猪猪小手工） 人民日报的微博视频 ,2023-05-02,6088,3132,微博视频号,2803301701,https://m.weibo.cn/detail/4896956508539981
4896942104778888,MEFUek3cQ,254,【真·飞檐走壁！#消防员8秒徒手上4楼#】近日，天津河西，消防员比武对抗赛现场演绎徒手上4楼。哨声一响，蓝朋友就有如离弦的箭般冲了出去！网友：上楼比我坐电梯还快，给你们点赞！#消防员飞檐走壁般徒手上4楼#（天津消防） 人民日报的微博视频 ,2023-05-02,1969,207,微博视频号,2803301701,https://m.weibo.cn/detail/4896942104778888
